TransactionID,CustomerID,Purchase Date,Amount
1,1,2026-09-19,92.38
2,1,2026-04-25,60.02
3,1,2026-06-22,101.52
4,1,2026-06-10,101.24
5,1,2026-07-29,83.51
6,1,2026-03-03,267.54
7,1,2026-07-29,84.48
8,1,2026-01-18,79.37
9,1,2026-06-20,74.42
10,1,2026-03-01,58.14
11,1,2026-03-11,122.54
12,1,2026-02-04,66.09
13,1,2025-12-21,69.7
14,1,2026-03-02,70.64
15,1,2025-11-17,57.78
16,1,2026-06-19,40.93
17,2,2026-09-03,54.21
18,2,2025-12-20,41.32
19,2,2026-08-14,58.05
20,2,2025-12-30,23.04
21,2,2026-02-08,48.42
22,2,2026-08-12,36.54
23,2,2026-03-14,163.15
24,2,2026-06-19,48.27
25,2,2026-03-24,34.41
26,2,2026-08-30,24.2
27,2,2025-12-30,80.97
28,2,2026-03-13,38.44
29,2,2026-05-02,31.52
30,2,2025-11-07,52.35
31,2,2026-01-25,60.28
32,2,2026-02-06,59.86
33,2,2026-07-15,45.4
34,2,2026-03-16,48.34
35,2,2026-01-06,49.95
36,2,2025-10-21,52.35
37,2,2026-02-08,54.48
38,2,2026-07-06,73.64
39,2,2026-01-14,46.16
40,2,2026-08-09,31.16
41,2,2026-05-19,42.17
42,2,2025-10-24,63.17
43,3,2026-07-24,78.59
44,3,2025-11-04,84.3
45,3,2026-06-23,54.22
46,3,2026-05-30,128.4
47,3,2026-02-21,74.58
48,3,2025-12-24,74.44
49,3,2026-06-03,102.21
50,3,2026-04-17,84.93
51,3,2026-07-10,131.19
52,3,2026-07-09,59.13
53,3,2026-06-11,47.99
54,3,2025-12-16,78.29
55,3,2025-11-04,92.47
56,3,2026-02-24,51.49
57,4,2026-05-21,35.31
58,4,2026-04-10,17.99
59,4,2026-02-13,28.35
60,4,2025-11-21,35.35
61,4,2026-01-24,13.41
62,4,2025-09-26,29.29
63,5,2026-09-16,367.88
64,5,2026-09-12,84.1
65,5,2025-11-24,235.7
66,5,2025-10-19,162.96
67,5,2026-01-26,271.66
68,5,2026-02-02,242.21
69,5,2026-05-15,247.6
70,5,2026-05-12,130.4
71,5,2025-10-26,204.68
72,5,2025-11-15,193.65
73,5,2026-03-23,262.43
74,5,2026-05-28,327.76
75,5,2026-07-11,224.71
76,5,2026-09-13,118.25
77,5,2026-03-28,220.42
78,5,2026-03-03,680.0
79,5,2026-01-19,440.46
80,5,2025-12-04,55.07
81,5,2026-05-09,216.07
82,5,2026-07-19,319.44
83,5,2025-11-20,193.46
84,5,2025-12-19,170.73
85,5,2026-03-11,186.23
86,5,2026-09-03,269.24
87,5,2026-04-03,125.25
88,5,2026-02-08,358.53
89,5,2025-11-15,204.77
90,5,2026-03-20,137.87
91,5,2026-04-05,348.3
92,5,2026-05-04,104.77
93,5,2026-04-22,163.57
94,6,2026-09-07,74.6
95,6,2026-06-26,51.23
96,6,2026-08-20,73.01
97,6,2026-05-24,81.04
98,6,2026-03-07,125.04
99,6,2026-09-05,75.58
100,6,2026-07-10,50.88
101,6,2025-12-07,43.73
102,6,2026-02-04,98.9
103,6,2026-02-09,92.99
104,6,2025-09-29,70.13
105,6,2026-06-20,72.93
